FI_PAISCU|FI_CANALCU|FI_SUCURSALCU|FI_FOLIOCU|FI_COD_IDENTIFICADOR|FI_MARCA
1|1|6066|26153|11|1
1|1|6059|74670|11|1
1|1|6066|48218|4|1
1|1|6046|22809|11|1
1|1|6017|119717|11|1
1|1|6027|27598|4|1
1|1|6023|76089|4|1
1|1|6027|37764|11|1
1|1|6023|12807|4|1
1|1|6023|38896|10|1
1|1|6023|44648|10|1
1|1|6020|22000|4|1
1|1|6115|35473|4|1
1|1|6102|31404|4|1
1|1|6103|34868|10|1
1|1|6125|35036|11|1
1|1|6105|1537|10|1
1|1|6105|24511|11|1
1|1|6114|23808|4|1
1|1|6114|35693|21|1
1|1|6115|825|11|1
1|1|6086|8804|10|1
1|1|6088|9146|10|1
1|1|6094|4716|10|1
1|1|6094|7721|10|1
1|1|6075|102138|4|1
1|1|6081|67448|4|1
1|1|6088|87022|4|1
1|1|6094|43053|11|1
1|1|6092|27138|10|1
1|1|6081|4370|11|1
1|1|6169|85450|11|1
1|1|6198|32520|11|1
1|1|6182|33573|4|1
1|1|6185|47014|11|1
1|1|6198|90846|4|1
1|1|6186|33220|10|1
1|1|6169|48021|0|0
1|1|6172|12588|4|1
1|1|6169|76552|10|1
1|1|6172|74790|11|1
1|1|6158|3250|10|1
1|1|6135|9428|21|1
1|1|6136|20474|11|1
1|1|6512|24237|11|1
1|1|6544|12917|11|1
1|1|6402|27124|11|1
1|1|6512|89545|21|1
1|1|6431|223956|4|1
1|1|6562|22574|4|1
1|1|6334|74113|11|1
1|1|6543|7920|11|1
1|1|6237|59920|11|1
1|1|6237|62793|10|1
1|1|6282|85314|11|1
1|1|6237|151231|4|1
1|1|6267|17605|11|1
1|1|6224|43080|15|1
1|1|6897|85830|10|1
1|1|6774|24958|11|1
1|1|6635|50561|11|1
1|1|6680|15714|11|1
1|1|6729|130826|4|1
1|1|6635|23153|4|1
1|1|7087|86460|4|1
1|1|7090|41539|11|1
1|1|7040|35575|11|1
1|1|6949|80023|11|1
1|1|6952|6458|11|1
1|1|7034|41958|4|1
1|1|6952|43330|11|1
1|1|6923|20235|4|1
1|1|6923|21974|11|1
1|1|6952|55010|11|1
1|1|7034|124886|21|1
1|1|7320|66493|4|1
1|1|7320|71501|4|1
1|1|7375|17471|4|1
1|1|7375|30306|21|1
1|1|7333|64201|4|1
1|1|7207|75550|10|1
1|1|7100|17930|11|1
1|1|7100|26828|11|1
1|1|7169|50950|10|1
1|1|7126|126968|11|1
1|1|7265|29168|11|1
1|1|7265|49878|11|1
1|1|7197|63595|4|1
1|1|7265|90004|21|1
1|1|7604|454697|4|1
1|1|7663|24414|11|1
1|1|7604|949488|4|1
1|1|7650|16882|11|1
1|1|7582|80633|4|1
1|1|7579|70475|10|1
1|1|7604|36529|11|1
1|1|7579|79244|10|1
1|1|7604|985890|4|1
1|1|7650|50473|4|1
1|1|7604|167071|11|1
1|1|7604|998933|4|1
1|1|7650|58929|4|1
1|1|7411|6143|14|1
1|1|7579|39460|10|1
1|1|7391|74251|11|1
1|1|7427|72210|11|1
1|1|7397|1327|4|1
1|1|7430|62929|4|1
1|1|7406|4209|4|1
1|1|7406|29647|11|1
1|1|8028|66429|4|1
1|1|8141|32522|11|1
1|1|8011|9232|4|1
1|1|8015|8991|11|1
1|1|8206|24726|11|1
1|1|7874|8751|11|1
1|1|7874|22994|11|1
1|1|7758|17529|11|1
1|1|7692|65071|11|1
1|1|7809|13800|11|1
1|1|7692|76956|11|1
1|1|7728|94680|10|1
1|1|8624|72606|11|1
1|1|8445|56653|11|1
1|1|8624|74441|11|1
1|1|8507|64183|11|1
1|1|8638|30808|21|1
1|1|8507|107287|4|1
1|1|8651|7416|4|1
1|1|8507|120897|11|1
1|1|8503|1829|4|1
1|1|8507|151003|4|1
1|1|8358|47247|10|1
1|1|8329|96640|10|1
1|1|8290|83104|11|1
1|1|8329|141588|10|1
1|1|8358|29665|10|1
1|1|8329|40645|4|1
1|1|8329|65454|10|1
1|1|9485|112567|4|1
1|1|9427|46782|11|1
1|1|9486|13755|11|1
1|1|9380|107804|21|1
1|1|9479|4303|4|1
1|1|9381|2912|11|1
1|1|9468|5917|14|1
1|1|9480|6492|10|1
1|1|9425|49718|4|1
1|1|8765|71946|11|1
1|1|8670|72954|4|1
1|1|8679|63168|4|1
1|1|8679|92855|11|1
1|1|8679|96571|4|1
1|1|9612|58907|11|1
1|1|9703|2135|15|1
1|1|9689|500|4|1
1|1|9703|7434|11|1
1|1|9705|1088|11|1
1|1|9661|131191|4|1
1|1|9709|5656|10|1
1|1|9698|2787|10|1
1|1|9702|2952|21|1
1|1|9507|1757|11|1
1|1|9508|5227|21|1
1|1|9503|8415|10|1
1|1|9513|186|21|1
1|1|9553|7458|4|1
1|1|9554|9318|11|1
1|1|9603|7903|11|1
1|1|9528|6337|4|1
1|2|122|21142|11|1
1|2|122|38873|11|1
1|2|437|17226|11|1
1|2|152|21728|11|1
1|2|453|36805|11|1
1|2|246|7833|11|1
1|2|122|17193|11|1
1|2|122|17661|11|1
1|1|9814|15228|11|1
1|1|9747|1872|4|1
1|1|9750|3830|11|1
1|1|9814|115997|21|1
1|1|9756|5113|11|1
1|1|9819|3264|11|1
1|1|9758|5220|11|1
1|1|9758|6142|10|1
1|3|8439|40642|10|1
1|3|8497|16951|4|1
1|3|8633|6604|11|1
1|3|8727|13569|11|1
1|3|8646|18575|4|1
1|2|9728|14394|11|1
1|2|6677|17761|4|1
1|2|9319|22987|4|1
1|2|3735|7128|4|1
1|2|9353|7255|11|1
1|2|8228|9809|11|1
1|2|6123|938|10|1
1|2|9529|29140|11|1
1|9|363|352|4|1
1|6|8903|4001|4|1
1|9|724|10797|4|1
1|7|9411|197|11|1
1|9|243|5323|10|1
1|3|8840|924|21|1
1|3|9536|9|11|1
1|3|9069|22718|4|1
1|3|9588|16779|11|1
1|3|9085|35877|21|1
1|3|8743|40305|11|1
1|3|8743|43544|4|1
1|3|8950|39366|4|1
1|9|3137|3593|11|1
1|9|3288|4274|11|1
1|9|3288|10742|4|1
1|9|3161|5182|10|1
1|9|3161|13398|10|1
1|9|3337|2901|10|1
1|9|2777|1014|10|1
1|9|3337|4221|10|1
1|9|2116|7536|4|1
1|9|2159|1172|4|1
1|9|2101|1670|11|1
1|9|1265|8863|10|1
1|9|5870|32628|10|1
1|9|6236|14581|10|1
1|9|5893|8705|10|1
1|9|5820|15033|11|1
1|9|5820|15153|11|1
1|9|5868|12601|11|1
1|9|5905|8647|11|1
1|9|5870|26423|21|1
1|9|4606|625|21|1
1|9|5052|1173|4|1
1|9|5169|7549|4|1
1|9|5170|8869|4|1
1|9|3789|27196|10|1
1|9|5732|1862|11|1
1|9|4596|4386|4|1
1|9|5789|6221|25|1
1|9|5792|18313|11|1
1|9|4602|40954|21|1
1|9|5683|4745|10|1
1|9|8481|4004|11|1
1|9|8530|8758|21|1
1|9|8513|5831|10|1
1|9|8531|7288|21|1
1|9|8420|16249|10|1
1|9|8422|8359|11|1
1|9|7645|99767|11|1
1|9|8179|24125|4|1
1|9|8179|28132|11|1
1|9|6673|1052|4|1
1|9|7795|3584|11|1
1|9|8182|12267|10|1
1|9|8175|25096|15|1
1|9|8176|33003|11|1
1|9|9858|2968|15|1
1|9|9829|1309|11|1
1|9|9832|3036|11|1
1|9|8996|20138|11|1
1|9|9487|5999|11|1
1|9|8663|7204|11|1
1|9|8690|873|11|1
1|9|8793|16514|4|1
1|9|8694|7448|11|1
1|9|8537|10450|4|1
1|9|8674|14438|11|1
1|9|8805|922|21|1
1|9|8697|7239|10|1
1|9|8645|24370|21|1
1|9|8820|501|11|1
1|9|8733|184|4|1
1|13|7439|2474|4|1
1|13|9320|2231|10|1
1|20|1191|18572|11|1
1|16|6504|2700|10|1
1|16|7003|230|11|1
1|9|9907|617|4|1
1|10|9447|2689|4|1
1|10|1937|2231|4|1
1|10|3970|610|4|1
1|20|1705|2895|4|1
1|20|1709|11889|10|1
1|20|2289|8864|11|1
1|20|2289|9217|11|1
1|20|1713|16913|11|1
1|20|2328|1744|11|1
1|20|1921|18124|11|1
1|20|2310|3277|11|1
1|20|1678|2266|10|1
1|20|1678|4143|11|1
1|20|1696|2933|11|1
1|20|1636|11240|11|1
1|20|1662|21988|4|1
1|20|1682|11539|11|1
1|20|1658|4978|21|1
1|20|1668|8051|11|1
1|20|1650|18082|11|1
1|20|1689|8699|11|1
1|24|9495|9791|10|1
1|24|9495|12554|10|1
1|24|9495|8122|10|1
1|24|9495|1340|10|1
1|20|8299|20811|10|1
1|20|9259|5969|11|1
1|20|2354|4505|4|1
1|20|2372|569|10|1
1|33|9546|88043|4|1
1|27|8236|1821|11|1
1|27|8322|2520|10|1
1|27|9192|1163|4|1
1|33|9546|222979|4|1
1|33|9546|54410|4|1
1|27|7555|569|10|1
1|24|9495|15082|10|1
1|24|9495|13373|10|1
1|24|9495|18662|10|1
1|27|976|23|4|1
1|39|2741|3502|4|1
1|39|2693|12180|10|1
1|39|2695|14236|4|1
1|39|2730|16768|4|1
1|36|1214|449|10|1
1|39|988|503|4|1
1|39|2737|5447|11|1
1|33|9546|434423|4|1
1|39|5842|5067|10|1
1|39|5489|177|4|1
1|39|5923|12318|10|1
1|39|5930|5749|11|1
1|39|5910|5063|0|0
1|39|5072|7765|10|1
1|39|4685|7275|10|1
1|39|4788|6653|4|1
1|39|5258|4787|11|1
1|39|4819|84|11|1
1|39|4819|142|11|1
1|39|4946|2069|11|1
1|51|8253|88143|11|1
1|51|8550|41768|10|1
1|13|7395|2990|4|1
1|51|8744|896|21|1
1|51|7858|169544|4|1
1|51|7866|3125|4|1
1|1|2016|4435|4|1
1|51|5467|37181|11|1
1|51|6608|1389|4|1
1|51|6636|3510|11|1
1|51|6963|3613|4|1
1|51|6970|3438|11|1
1|51|6658|181658|4|1
1|51|6988|210862|4|1
1|42|7997|1236|11|1
1|51|7140|4874|10|1
1|51|7172|3478|21|1
1|51|5441|1848|10|1
1|51|6558|4985|4|1
1|9|5870|36243|4|1
1|1|5212|132175|4|1
1|1|2063|101776|11|1
1|9|5689|11176|4|1
1|51|7855|2625|10|1
1|1|1711|58219|15|1
1|1|1079|40730|4|1
1|1|6923|163487|4|1
1|1|9427|76664|4|1
1|1|9970|2087|4|1
1|1|5936|3909|4|1
1|1|835|117101|11|1
1|1|9661|1025|11|1
1|1|3531|135313|11|1
1|1|7034|19254|11|1
1|1|1504|157509|11|1
1|1|2752|39779|11|1
1|1|9427|80906|11|1
1|1|1139|9621|11|1
1|9|5825|12879|10|1
1|1|7540|90784|11|1
1|1|7801|35988|11|1
1|1|6826|46428|11|1
1|1|9939|452|21|1
1|1|9562|4261|11|1
1|1|2023|58678|11|1
1|1|2097|23382|11|1
1|1|2393|7665|11|1
1|1|9425|55924|11|1
1|1|1025|81575|11|1
1|1|7388|175162|21|1
1|2|9362|15603|11|1
1|1|6703|100309|11|1
1|1|3036|32448|21|1
1|1|1245|184638|11|1
1|1|5461|107669|11|1
1|1|4954|19743|11|1
1|9|9845|2618|11|1
1|1|495|67976|4|1
1|1|6114|35444|4|1
1|1|2392|3100|4|1
1|9|8530|10912|4|1
1|1|7809|137021|4|1
1|1|2011|87876|4|1
1|39|4681|4317|4|1
1|1|9476|7202|11|1
1|10|1473|147|11|1
1|1|2071|8943|11|1
1|2|3696|10341|14|1
1|9|4426|12015|10|1
1|1|2707|101398|4|1
1|9|8511|12806|11|1
1|9|4596|13446|4|1
